head_entity,head_entity_label,relation,tail_entity,tail_entity_label,context
涅魯古,PER,任职,北、南院樞密官,OFI,时北、南院枢密官涅鲁古、萧胡睹等忌之，请以仁先为西北路招讨使。耶律乙辛奏曰：「仁先旧臣，德冠一时，不宜补外。」复拜南院枢密使，更王许。
蕭胡睹,PER,政治奥援,仁先,PER,时北、南院枢密官涅鲁古、萧胡睹等忌之，请以仁先为西北路招讨使。耶律乙辛奏曰：「仁先旧臣，德冠一时，不宜补外。」复拜南院枢密使，更王许。
涅魯古,PER,政治奥援,仁先,PER,时北、南院枢密官涅鲁古、萧胡睹等忌之，请以仁先为西北路招讨使。耶律乙辛奏曰：「仁先旧臣，德冠一时，不宜补外。」复拜南院枢密使，更王许。
涅魯古,PER,同僚,蕭胡睹,PER,时北、南院枢密官涅鲁古、萧胡睹等忌之，请以仁先为西北路招讨使。耶律乙辛奏曰：「仁先旧臣，德冠一时，不宜补外。」复拜南院枢密使，更王许。
耶律乙辛,PER,敌对攻伐,仁先,PER,时北、南院枢密官涅鲁古、萧胡睹等忌之，请以仁先为西北路招讨使。耶律乙辛奏曰：「仁先旧臣，德冠一时，不宜补外。」复拜南院枢密使，更王许。
仁先,PER,任职,南院樞密使,OFI,时北、南院枢密官涅鲁古、萧胡睹等忌之，请以仁先为西北路招讨使。耶律乙辛奏曰：「仁先旧臣，德冠一时，不宜补外。」复拜南院枢密使，更王许。
幼孫,PER,任职,主簿,OFI,臻子幼孙，梁宁远枝江公主簿、无锡令。幼孙子奂
幼孫,PER,任职,無錫令,OFI,臻子幼孙，梁宁远枝江公主簿、无锡令。幼孙子奂
臻,PER,父母,幼孫,PER,臻子幼孙，梁宁远枝江公主簿、无锡令。幼孙子奂
枝江公,PER,上下级,幼孫,PER,臻子幼孙，梁宁远枝江公主簿、无锡令。幼孙子奂
幼孫,PER,父母,奐,PER,臻子幼孙，梁宁远枝江公主簿、无锡令。幼孙子奂
德仁,PER,任职,剡縣丞,OFI,伯父德仁，隋剡县丞，
應國,PER,任职,征西將軍,OFI,正国弟应国，征西将军、张掖公。
應國,PER,任职,張掖公,OFI,正国弟应国，征西将军、张掖公。
正國,PER,兄弟,應國,PER,正国弟应国，征西将军、张掖公。
太祖,PER,上下级,協,PER,魏恭帝三年，太祖征协入朝，论蜀中事，乃赐姓宇文氏，增邑通前一千五百户。
壽,PER,任职,下大夫,OFI,子寿，袭爵，少以父任选侍东宫。尚乐陵公主，拜驸马都尉。明敏有父风，世祖爱重之，擢为下大夫。
壽,PER,任职,駙馬都尉,OFI,子寿，袭爵，少以父任选侍东宫。尚乐陵公主，拜驸马都尉。明敏有父风，世祖爱重之，擢为下大夫。
世祖,PER,父母,樂陵公主,PER,子寿，袭爵，少以父任选侍东宫。尚乐陵公主，拜驸马都尉。明敏有父风，世祖爱重之，擢为下大夫。
世祖,PER,上下级,壽,PER,子寿，袭爵，少以父任选侍东宫。尚乐陵公主，拜驸马都尉。明敏有父风，世祖爱重之，擢为下大夫。
陸瑜,PER,任职,管記,OFI,奂曰：「臣之所见，亦如圣旨。」后主时在东宫，欲以江总为太子詹事，令管记陆瑜言之奂。
江總,PER,任职,太子詹事,OFI,奂曰：「臣之所见，亦如圣旨。」后主时在东宫，欲以江总为太子詹事，令管记陆瑜言之奂。
後主,PER,上下级,江總,PER,奂曰：「臣之所见，亦如圣旨。」后主时在东宫，欲以江总为太子詹事，令管记陆瑜言之奂。
後主,PER,上下级,陸瑜,PER,奂曰：「臣之所见，亦如圣旨。」后主时在东宫，欲以江总为太子詹事，令管记陆瑜言之奂。
陸瑜,PER,政治奥援,奐,PER,奂曰：「臣之所见，亦如圣旨。」后主时在东宫，欲以江总为太子詹事，令管记陆瑜言之奂。
至,PER,任职,莒國公,OFI,即令收护子柱国谭国公会、大将军莒国公至、崇业公静、正平公干嘉，
會,PER,任职,譚國公,OFI,即令收护子柱国谭国公会、大将军莒国公至、崇业公静、正平公干嘉，
靜,PER,任职,崇業公,OFI,即令收护子柱国谭国公会、大将军莒国公至、崇业公静、正平公干嘉，
乾嘉,PER,任职,正平公,OFI,即令收护子柱国谭国公会、大将军莒国公至、崇业公静、正平公干嘉，
會,PER,任职,柱國,OFI,即令收护子柱国谭国公会、大将军莒国公至、崇业公静、正平公干嘉，
至,PER,任职,大將軍,OFI,即令收护子柱国谭国公会、大将军莒国公至、崇业公静、正平公干嘉，
護,PER,父母,至,PER,即令收护子柱国谭国公会、大将军莒国公至、崇业公静、正平公干嘉，
護,PER,父母,靜,PER,即令收护子柱国谭国公会、大将军莒国公至、崇业公静、正平公干嘉，
護,PER,父母,乾嘉,PER,即令收护子柱国谭国公会、大将军莒国公至、崇业公静、正平公干嘉，
護,PER,父母,會,PER,即令收护子柱国谭国公会、大将军莒国公至、崇业公静、正平公干嘉，
會,PER,兄弟,至,PER,即令收护子柱国谭国公会、大将军莒国公至、崇业公静、正平公干嘉，
會,PER,兄弟,靜,PER,即令收护子柱国谭国公会、大将军莒国公至、崇业公静、正平公干嘉，
至,PER,兄弟,靜,PER,即令收护子柱国谭国公会、大将军莒国公至、崇业公静、正平公干嘉，
會,PER,兄弟,乾嘉,PER,即令收护子柱国谭国公会、大将军莒国公至、崇业公静、正平公干嘉，
靜,PER,兄弟,乾嘉,PER,即令收护子柱国谭国公会、大将军莒国公至、崇业公静、正平公干嘉，
至,PER,兄弟,乾嘉,PER,即令收护子柱国谭国公会、大将军莒国公至、崇业公静、正平公干嘉，
訓,PER,任职,御史中丞,OFI,及训为文宗宠遇，复召为尚书郎。九年，以右司郎中知台杂。七月，权知中丞事。九年，拜御史中丞，兼判刑部侍郎。
訓,PER,任职,知臺雜,OFI,及训为文宗宠遇，复召为尚书郎。九年，以右司郎中知台杂。七月，权知中丞事。九年，拜御史中丞，兼判刑部侍郎。
訓,PER,任职,刑部侍郎,OFI,及训为文宗宠遇，复召为尚书郎。九年，以右司郎中知台杂。七月，权知中丞事。九年，拜御史中丞，兼判刑部侍郎。
訓,PER,任职,尚書郎,OFI,及训为文宗宠遇，复召为尚书郎。九年，以右司郎中知台杂。七月，权知中丞事。九年，拜御史中丞，兼判刑部侍郎。
訓,PER,任职,權知中丞事,OFI,及训为文宗宠遇，复召为尚书郎。九年，以右司郎中知台杂。七月，权知中丞事。九年，拜御史中丞，兼判刑部侍郎。
文宗,PER,上下级,訓,PER,及训为文宗宠遇，复召为尚书郎。九年，以右司郎中知台杂。七月，权知中丞事。九年，拜御史中丞，兼判刑部侍郎。
護,PER,敌对攻伐,孫恆,PER,晋公护既杀孙恒、李植等，欲委腹心于司会柳庆、司宪令狐整等。庆、整并辞不堪，俱荐协
護,PER,敌对攻伐,李植,PER,晋公护既杀孙恒、李植等，欲委腹心于司会柳庆、司宪令狐整等。庆、整并辞不堪，俱荐协
柳慶,PER,任职,司會,OFI,晋公护既杀孙恒、李植等，欲委腹心于司会柳庆、司宪令狐整等。庆、整并辞不堪，俱荐协
令狐整,PER,任职,司憲,OFI,晋公护既杀孙恒、李植等，欲委腹心于司会柳庆、司宪令狐整等。庆、整并辞不堪，俱荐协
柳慶,PER,同僚,令狐整,PER,晋公护既杀孙恒、李植等，欲委腹心于司会柳庆、司宪令狐整等。庆、整并辞不堪，俱荐协
慶,PER,政治奥援,整,PER,晋公护既杀孙恒、李植等，欲委腹心于司会柳庆、司宪令狐整等。庆、整并辞不堪，俱荐协
孫恆,PER,政治奥援,李植,PER,晋公护既杀孙恒、李植等，欲委腹心于司会柳庆、司宪令狐整等。庆、整并辞不堪，俱荐协
整,PER,政治奥援,協,PER,晋公护既杀孙恒、李植等，欲委腹心于司会柳庆、司宪令狐整等。庆、整并辞不堪，俱荐协
慶,PER,政治奥援,協,PER,晋公护既杀孙恒、李植等，欲委腹心于司会柳庆、司宪令狐整等。庆、整并辞不堪，俱荐协
楫,PER,到达,終南山,LOC,父霆，金武节将军、麟游主簿。楫性倜傥，弱冠举进士不第，乃入终南山读书，涉猎孙、吴。
霆,PER,任职,金武節將軍,OFI,父霆，金武节将军、麟游主簿。楫性倜傥，弱冠举进士不第，乃入终南山读书，涉猎孙、吴。
霆,PER,管理,麟游,LOC,父霆，金武节将军、麟游主簿。楫性倜傥，弱冠举进士不第，乃入终南山读书，涉猎孙、吴。
霆,PER,任职,主簿,OFI,父霆，金武节将军、麟游主簿。楫性倜傥，弱冠举进士不第，乃入终南山读书，涉猎孙、吴。
克用,PER,到达,新平,LOC,案旧唐书：七月丁卯，上遣内官张承业传诏克用军，便令监太原行营兵马，发赴新平。
克用,PER,管理,太原,LOC,案旧唐书：七月丁卯，上遣内官张承业传诏克用军，便令监太原行营兵马，发赴新平。
何勗,PER,任职,侍中,OFI,子孚有父风。尝与侍中何勗共食，孚羹尽，勗云：「益殷莼羹。
楊光遠,PER,敌对攻伐,范延光,PER,晋天褔初，范延光叛于魏州，周从杨光远攻降之，安重荣以镇州叛，从杜重威讨平之，以功授贝州节度使，岁馀，移镇泾州。
杜重威,PER,敌对攻伐,安重榮,PER,晋天褔初，范延光叛于魏州，周从杨光远攻降之，安重荣以镇州叛，从杜重威讨平之，以功授贝州节度使，岁馀，移镇泾州。
安重榮,PER,敌对攻伐,周,PER,晋天褔初，范延光叛于魏州，周从杨光远攻降之，安重荣以镇州叛，从杜重威讨平之，以功授贝州节度使，岁馀，移镇泾州。
周,PER,敌对攻伐,范延光,PER,晋天褔初，范延光叛于魏州，周从杨光远攻降之，安重荣以镇州叛，从杜重威讨平之，以功授贝州节度使，岁馀，移镇泾州。
范延光,PER,驻守,魏州,LOC,晋天褔初，范延光叛于魏州，周从杨光远攻降之，安重荣以镇州叛，从杜重威讨平之，以功授贝州节度使，岁馀，移镇泾州。
安重榮,PER,驻守,鎮州,LOC,晋天褔初，范延光叛于魏州，周从杨光远攻降之，安重荣以镇州叛，从杜重威讨平之，以功授贝州节度使，岁馀，移镇泾州。
周,PER,任职,節度使,OFI,晋天褔初，范延光叛于魏州，周从杨光远攻降之，安重荣以镇州叛，从杜重威讨平之，以功授贝州节度使，岁馀，移镇泾州。
杜重威,PER,任职,節度使,OFI,晋天褔初，范延光叛于魏州，周从杨光远攻降之，安重荣以镇州叛，从杜重威讨平之，以功授贝州节度使，岁馀，移镇泾州。
周,PER,管理,貝州,LOC,晋天褔初，范延光叛于魏州，周从杨光远攻降之，安重荣以镇州叛，从杜重威讨平之，以功授贝州节度使，岁馀，移镇泾州。
楊光遠,PER,上下级,周,PER,晋天褔初，范延光叛于魏州，周从杨光远攻降之，安重荣以镇州叛，从杜重威讨平之，以功授贝州节度使，岁馀，移镇泾州。
杜重威,PER,上下级,周,PER,晋天褔初，范延光叛于魏州，周从杨光远攻降之，安重荣以镇州叛，从杜重威讨平之，以功授贝州节度使，岁馀，移镇泾州。
周,PER,驻守,涇州,LOC,晋天褔初，范延光叛于魏州，周从杨光远攻降之，安重荣以镇州叛，从杜重威讨平之，以功授贝州节度使，岁馀，移镇泾州。
吳乞買,PER,任职,諳版勃極烈,OFI,诏谙版勃极烈吴乞买曰：「比遣昂徙诸部，多致怨叛，稍喝驻兵不与讨袭，致使降人复归辽主，违命失众，当置重法。
劉仁恭,PER,驻守,代州,LOC,甲午，师次代州，刘仁恭遣使谢罪于武皇，武皇亦以书报之，自此有檄十馀返。
韶,PER,敌对攻伐,夏州,LOC,及韩陵之战，韶督率所部，先锋陷阵。寻从高祖出晋阳，追尒朱兆于赤谼岭，平之。以军功封下洛县男。又从袭取夏州，擒斛律弥娥突，加龙骧将军、谏议大夫，累迁武卫将军。
韶,PER,敌对攻伐,尒朱兆,PER,及韩陵之战，韶督率所部，先锋陷阵。寻从高祖出晋阳，追尒朱兆于赤谼岭，平之。以军功封下洛县男。又从袭取夏州，擒斛律弥娥突，加龙骧将军、谏议大夫，累迁武卫将军。
韶,PER,敌对攻伐,斛律彌娥突,PER,及韩陵之战，韶督率所部，先锋陷阵。寻从高祖出晋阳，追尒朱兆于赤谼岭，平之。以军功封下洛县男。又从袭取夏州，擒斛律弥娥突，加龙骧将军、谏议大夫，累迁武卫将军。
韶,PER,任职,下洛縣男,OFI,及韩陵之战，韶督率所部，先锋陷阵。寻从高祖出晋阳，追尒朱兆于赤谼岭，平之。以军功封下洛县男。又从袭取夏州，擒斛律弥娥突，加龙骧将军、谏议大夫，累迁武卫将军。
韶,PER,任职,武衛將軍,OFI,及韩陵之战，韶督率所部，先锋陷阵。寻从高祖出晋阳，追尒朱兆于赤谼岭，平之。以军功封下洛县男。又从袭取夏州，擒斛律弥娥突，加龙骧将军、谏议大夫，累迁武卫将军。
韶,PER,任职,諫議大夫,OFI,及韩陵之战，韶督率所部，先锋陷阵。寻从高祖出晋阳，追尒朱兆于赤谼岭，平之。以军功封下洛县男。又从袭取夏州，擒斛律弥娥突，加龙骧将军、谏议大夫，累迁武卫将军。
韶,PER,任职,龍驤將軍,OFI,及韩陵之战，韶督率所部，先锋陷阵。寻从高祖出晋阳，追尒朱兆于赤谼岭，平之。以军功封下洛县男。又从袭取夏州，擒斛律弥娥突，加龙骧将军、谏议大夫，累迁武卫将军。
高祖,PER,上下级,韶,PER,及韩陵之战，韶督率所部，先锋陷阵。寻从高祖出晋阳，追尒朱兆于赤谼岭，平之。以军功封下洛县男。又从袭取夏州，擒斛律弥娥突，加龙骧将军、谏议大夫，累迁武卫将军。
尒朱兆,PER,到达,赤谼嶺,LOC,及韩陵之战，韶督率所部，先锋陷阵。寻从高祖出晋阳，追尒朱兆于赤谼岭，平之。以军功封下洛县男。又从袭取夏州，擒斛律弥娥突，加龙骧将军、谏议大夫，累迁武卫将军。
韶,PER,到达,赤谼嶺,LOC,及韩陵之战，韶督率所部，先锋陷阵。寻从高祖出晋阳，追尒朱兆于赤谼岭，平之。以军功封下洛县男。又从袭取夏州，擒斛律弥娥突，加龙骧将军、谏议大夫，累迁武卫将军。
高祖,PER,到达,赤谼嶺,LOC,及韩陵之战，韶督率所部，先锋陷阵。寻从高祖出晋阳，追尒朱兆于赤谼岭，平之。以军功封下洛县男。又从袭取夏州，擒斛律弥娥突，加龙骧将军、谏议大夫，累迁武卫将军。
禧,PER,任职,咸陽王,OFI,会司州牧、咸阳王禧入，高祖谓禧曰：「朕与卿作州都，举一主簿。」即命弼谒之。
禧,PER,任职,司州牧,OFI,会司州牧、咸阳王禧入，高祖谓禧曰：「朕与卿作州都，举一主簿。」即命弼谒之。
弼,PER,任职,主簿,OFI,会司州牧、咸阳王禧入，高祖谓禧曰：「朕与卿作州都，举一主簿。」即命弼谒之。
高祖,PER,上下级,禧,PER,会司州牧、咸阳王禧入，高祖谓禧曰：「朕与卿作州都，举一主簿。」即命弼谒之。
栗,PER,任职,涼州鎮將,OFI,寄生弟栗，凉州镇将、安南公。
栗,PER,任职,安南公,OFI,寄生弟栗，凉州镇将、安南公。
寄生,PER,兄弟,栗,PER,寄生弟栗，凉州镇将、安南公。
杜希望,PER,任职,都督,OFI,鄯州都督杜希望又拔新城，更号威戎军。希逸顾失信，悒悒怅恨，召拜河南尹。
杜希望,PER,管理,鄯州,LOC,鄯州都督杜希望又拔新城，更号威戎军。希逸顾失信，悒悒怅恨，召拜河南尹。
杜希望,PER,敌对攻伐,新城,LOC,鄯州都督杜希望又拔新城，更号威戎军。希逸顾失信，悒悒怅恨，召拜河南尹。
希逸,PER,任职,河南尹,OFI,鄯州都督杜希望又拔新城，更号威戎军。希逸顾失信，悒悒怅恨，召拜河南尹。
羆,PER,任职,鎮北將軍,OFI,又除侍中、中书监。穆泰之反，罴与潜通，赦后事发，削封为民。卒于家。世宗时，追赠镇北将军、恒州刺史。
世宗,PER,上下级,羆,PER,又除侍中、中书监。穆泰之反，罴与潜通，赦后事发，削封为民。卒于家。世宗时，追赠镇北将军、恒州刺史。
羆,PER,管理,恒州,LOC,又除侍中、中书监。穆泰之反，罴与潜通，赦后事发，削封为民。卒于家。世宗时，追赠镇北将军、恒州刺史。
穆泰,PER,政治奥援,羆,PER,又除侍中、中书监。穆泰之反，罴与潜通，赦后事发，削封为民。卒于家。世宗时，追赠镇北将军、恒州刺史。
王玉汝,PER,别名,君璋,PER,王玉汝字君璋，郓人。少习吏事。金末迁民南渡，玉汝奉其亲从间道还。行台严实入据郓，署玉汝为掾史，稍迁，补行台令史。
王玉汝,PER,出生于某地,鄆,LOC,王玉汝字君璋，郓人。少习吏事。金末迁民南渡，玉汝奉其亲从间道还。行台严实入据郓，署玉汝为掾史，稍迁，补行台令史。
嚴實,PER,政治奥援,玉汝,PER,王玉汝字君璋，郓人。少习吏事。金末迁民南渡，玉汝奉其亲从间道还。行台严实入据郓，署玉汝为掾史，稍迁，补行台令史。
玉汝,PER,任职,掾史,OFI,王玉汝字君璋，郓人。少习吏事。金末迁民南渡，玉汝奉其亲从间道还。行台严实入据郓，署玉汝为掾史，稍迁，补行台令史。
玉汝,PER,任职,行臺令史,OFI,王玉汝字君璋，郓人。少习吏事。金末迁民南渡，玉汝奉其亲从间道还。行台严实入据郓，署玉汝为掾史，稍迁，补行台令史。
世祖,PER,上下级,眷,PER,」世祖嘉之。乃求眷后，得其孙，赐爵郡公。
兆,PER,敌对攻伐,神武,PER,兆为天柱大将军，转司马。兆与齐神武初战不利，还上党，令协在建州督军粮。
兆,PER,任职,司馬,OFI,兆为天柱大将军，转司马。兆与齐神武初战不利，还上党，令协在建州督军粮。
兆,PER,任职,天柱大將軍,OFI,兆为天柱大将军，转司马。兆与齐神武初战不利，还上党，令协在建州督军粮。
兆,PER,上下级,協,PER,兆为天柱大将军，转司马。兆与齐神武初战不利，还上党，令协在建州督军粮。
兆,PER,到达,上黨,LOC,兆为天柱大将军，转司马。兆与齐神武初战不利，还上党，令协在建州督军粮。
協,PER,驻守,建州,LOC,兆为天柱大将军，转司马。兆与齐神武初战不利，还上党，令协在建州督军粮。
綱,PER,驻守,京師,LOC,晋公护东讨，乃配纲甲士，留镇京师。大军还，纲复归。天和二年，以纲政绩可纪，赐帛及钱谷等，增邑，以褒赏之。
護,PER,上下级,綱,PER,晋公护东讨，乃配纲甲士，留镇京师。大军还，纲复归。天和二年，以纲政绩可纪，赐帛及钱谷等，增邑，以褒赏之。
楊雲翼,PER,别名,趙,PER,仕五朝，官六卿，自奉养如寒士。杨云翼尝与秉文代掌文柄，时人号杨赵。
楊雲翼,PER,同僚,秉文,PER,仕五朝，官六卿，自奉养如寒士。杨云翼尝与秉文代掌文柄，时人号杨赵。
楊雲翼,PER,别名,楊,PER,仕五朝，官六卿，自奉养如寒士。杨云翼尝与秉文代掌文柄，时人号杨赵。
贄,PER,任职,兵部尚書,OFI,诏未至而贽卒，时年五十二，赠兵部尚书，谥曰宣。
贄,PER,别名,宣,PER,诏未至而贽卒，时年五十二，赠兵部尚书，谥曰宣。
恒,PER,任职,散騎常侍,OFI,恒因愚习惰，久妨清序，可除散骑常侍
世祖,PER,敌对攻伐,跋黑,PER,世祖初年，跋黑为变，乌春盛强，使人召阿库德、白达。阿库德曰：「吾不知其他，死生与太师共之。」太师，谓世祖也。白达大喜曰：「我心正如此耳。
世祖,PER,上下级,阿庫德,PER,世祖初年，跋黑为变，乌春盛强，使人召阿库德、白达。阿库德曰：「吾不知其他，死生与太师共之。」太师，谓世祖也。白达大喜曰：「我心正如此耳。
世祖,PER,上下级,白達,PER,世祖初年，跋黑为变，乌春盛强，使人召阿库德、白达。阿库德曰：「吾不知其他，死生与太师共之。」太师，谓世祖也。白达大喜曰：「我心正如此耳。
阿庫德,PER,政治奥援,太師,PER,世祖初年，跋黑为变，乌春盛强，使人召阿库德、白达。阿库德曰：「吾不知其他，死生与太师共之。」太师，谓世祖也。白达大喜曰：「我心正如此耳。
太師,PER,别名,世祖,PER,世祖初年，跋黑为变，乌春盛强，使人召阿库德、白达。阿库德曰：「吾不知其他，死生与太师共之。」太师，谓世祖也。白达大喜曰：「我心正如此耳。
李吉甫,PER,任职,宰相,OFI,元和三年，为宰相李吉甫所怒，罢学士，守都官员外郎，再贬虢州司马。
崔浩,PER,同僚,李順,PER,朕故留壮兵肥马，使卿辅佐太子。收田既讫，便可分伏要害，以待虏至，引使深入，然后击之，擒之必矣。凉州路远，朕不得救。卿若违朕指授，为虏侵害，朕还斩卿。崔浩、李顺为证，非虚言也。」寿顿首受诏。
朕,PER,父母,太子,PER,朕故留壮兵肥马，使卿辅佐太子。收田既讫，便可分伏要害，以待虏至，引使深入，然后击之，擒之必矣。凉州路远，朕不得救。卿若违朕指授，为虏侵害，朕还斩卿。崔浩、李顺为证，非虚言也。」寿顿首受诏。
朕,PER,上下级,卿,PER,朕故留壮兵肥马，使卿辅佐太子。收田既讫，便可分伏要害，以待虏至，引使深入，然后击之，擒之必矣。凉州路远，朕不得救。卿若违朕指授，为虏侵害，朕还斩卿。崔浩、李顺为证，非虚言也。」寿顿首受诏。
朕,PER,上下级,壽,PER,朕故留壮兵肥马，使卿辅佐太子。收田既讫，便可分伏要害，以待虏至，引使深入，然后击之，擒之必矣。凉州路远，朕不得救。卿若违朕指授，为虏侵害，朕还斩卿。崔浩、李顺为证，非虚言也。」寿顿首受诏。
德威,PER,管理,上京,LOC,德威，性刚介，善驰射。保宁初，历上京皇城使，儒州防御使，改北院宣徽使。干亨末，丁父丧，强起复职，权西南招讨使
德威,PER,管理,儒州,LOC,德威，性刚介，善驰射。保宁初，历上京皇城使，儒州防御使，改北院宣徽使。干亨末，丁父丧，强起复职，权西南招讨使
德威,PER,任职,防禦使,OFI,德威，性刚介，善驰射。保宁初，历上京皇城使，儒州防御使，改北院宣徽使。干亨末，丁父丧，强起复职，权西南招讨使
德威,PER,任职,北院宣徽使,OFI,德威，性刚介，善驰射。保宁初，历上京皇城使，儒州防御使，改北院宣徽使。干亨末，丁父丧，强起复职，权西南招讨使
德威,PER,任职,皇城使,OFI,德威，性刚介，善驰射。保宁初，历上京皇城使，儒州防御使，改北院宣徽使。干亨末，丁父丧，强起复职，权西南招讨使
德威,PER,任职,西南招討使,OFI,德威，性刚介，善驰射。保宁初，历上京皇城使，儒州防御使，改北院宣徽使。干亨末，丁父丧，强起复职，权西南招讨使
霆,PER,父母,王楫,PER,王楫字巨川，凤翔虢县人。父霆，金武节将军、麟游主簿。
護,PER,别名,蕩,PER,三年，诏复护及诸子先封，諡护曰荡，并改葬之。
吳喜,PER,上下级,袁標,PER,顾琛、王昙生、袁标等并诣吴喜归罪，喜皆宥之。
吳喜,PER,上下级,王曇生,PER,顾琛、王昙生、袁标等并诣吴喜归罪，喜皆宥之。
吳喜,PER,上下级,顧琛,PER,顾琛、王昙生、袁标等并诣吴喜归罪，喜皆宥之。
袁標,PER,同僚,王曇生,PER,顾琛、王昙生、袁标等并诣吴喜归罪，喜皆宥之。
顧琛,PER,同僚,王曇生,PER,顾琛、王昙生、袁标等并诣吴喜归罪，喜皆宥之。
袁標,PER,同僚,顧琛,PER,顾琛、王昙生、袁标等并诣吴喜归罪，喜皆宥之。
喜,PER,政治奥援,袁標,PER,顾琛、王昙生、袁标等并诣吴喜归罪，喜皆宥之。
喜,PER,政治奥援,王曇生,PER,顾琛、王昙生、袁标等并诣吴喜归罪，喜皆宥之。
喜,PER,政治奥援,顧琛,PER,顾琛、王昙生、袁标等并诣吴喜归罪，喜皆宥之。
神武,PER,敌对攻伐,河,LOC,宇文夏州纠合同盟，愿立功效，若闻车驾西幸，必当奔走奉迎。借天府之资，因已成之业，二年修复旧京，何虑不克。」帝深然之。及神武兵至河北，帝乃西迁。
昔剌,PER,敌对攻伐,夔府,LOC,四年春，元帅阿术驻兵河南，遣昔剌将蒙古、汉军复立宿州。至元六年，赐虎符，陞海州万户。引兵攻盐林山寨，多所俘获。十年，授东川行枢密院同佥。十五年，征夔府有功。十六年，徙镇万州，卒于军。
昔剌,PER,敌对攻伐,鹽林山,LOC,四年春，元帅阿术驻兵河南，遣昔剌将蒙古、汉军复立宿州。至元六年，赐虎符，陞海州万户。引兵攻盐林山寨，多所俘获。十年，授东川行枢密院同佥。十五年，征夔府有功。十六年，徙镇万州，卒于军。
昔剌,PER,驻守,萬州,LOC,四年春，元帅阿术驻兵河南，遣昔剌将蒙古、汉军复立宿州。至元六年，赐虎符，陞海州万户。引兵攻盐林山寨，多所俘获。十年，授东川行枢密院同佥。十五年，征夔府有功。十六年，徙镇万州，卒于军。
昔剌,PER,任职,同僉,OFI,四年春，元帅阿术驻兵河南，遣昔剌将蒙古、汉军复立宿州。至元六年，赐虎符，陞海州万户。引兵攻盐林山寨，多所俘获。十年，授东川行枢密院同佥。十五年，征夔府有功。十六年，徙镇万州，卒于军。
昔剌,PER,任职,萬戶,OFI,四年春，元帅阿术驻兵河南，遣昔剌将蒙古、汉军复立宿州。至元六年，赐虎符，陞海州万户。引兵攻盐林山寨，多所俘获。十年，授东川行枢密院同佥。十五年，征夔府有功。十六年，徙镇万州，卒于军。
昔剌,PER,任职,行樞密院,OFI,四年春，元帅阿术驻兵河南，遣昔剌将蒙古、汉军复立宿州。至元六年，赐虎符，陞海州万户。引兵攻盐林山寨，多所俘获。十年，授东川行枢密院同佥。十五年，征夔府有功。十六年，徙镇万州，卒于军。
阿朮,PER,上下级,昔剌,PER,四年春，元帅阿术驻兵河南，遣昔剌将蒙古、汉军复立宿州。至元六年，赐虎符，陞海州万户。引兵攻盐林山寨，多所俘获。十年，授东川行枢密院同佥。十五年，征夔府有功。十六年，徙镇万州，卒于军。
昔剌,PER,管理,東川,LOC,四年春，元帅阿术驻兵河南，遣昔剌将蒙古、汉军复立宿州。至元六年，赐虎符，陞海州万户。引兵攻盐林山寨，多所俘获。十年，授东川行枢密院同佥。十五年，征夔府有功。十六年，徙镇万州，卒于军。
昔剌,PER,管理,海州,LOC,四年春，元帅阿术驻兵河南，遣昔剌将蒙古、汉军复立宿州。至元六年，赐虎符，陞海州万户。引兵攻盐林山寨，多所俘获。十年，授东川行枢密院同佥。十五年，征夔府有功。十六年，徙镇万州，卒于军。
阿朮,PER,驻守,河南,LOC,四年春，元帅阿术驻兵河南，遣昔剌将蒙古、汉军复立宿州。至元六年，赐虎符，陞海州万户。引兵攻盐林山寨，多所俘获。十年，授东川行枢密院同佥。十五年，征夔府有功。十六年，徙镇万州，卒于军。
武皇,PER,父母,邠國夫人,PER,珂妻邠国夫人，武皇爱女也，亦以书至，恳切求援。
珂,PER,政治奥援,武皇,PER,珂妻邠国夫人，武皇爱女也，亦以书至，恳切求援。
高岳,PER,敌对攻伐,思政,PER,东魏将高岳等闻大兵至，收军而遁。思政入守颍川。
思政,PER,驻守,潁川,LOC,东魏将高岳等闻大兵至，收军而遁。思政入守颍川。
高岳,PER,出生于某地,東魏,LOC,东魏将高岳等闻大兵至，收军而遁。思政入守颍川。
恩,PER,敌对攻伐,斡端,LOC,十八年，命恩进兵斡端，海都将玉论亦撒率兵万人迎战，游骑先至，恩设伏以待，大败之。海都又遣八把率众三万来侵，恩以众寡不敌，成师而还。
恩,PER,敌对攻伐,海都,PER,十八年，命恩进兵斡端，海都将玉论亦撒率兵万人迎战，游骑先至，恩设伏以待，大败之。海都又遣八把率众三万来侵，恩以众寡不敌，成师而还。
恩,PER,敌对攻伐,玉論亦撒,PER,十八年，命恩进兵斡端，海都将玉论亦撒率兵万人迎战，游骑先至，恩设伏以待，大败之。海都又遣八把率众三万来侵，恩以众寡不敌，成师而还。
玉論亦撒,PER,驻守,斡端,LOC,十八年，命恩进兵斡端，海都将玉论亦撒率兵万人迎战，游骑先至，恩设伏以待，大败之。海都又遣八把率众三万来侵，恩以众寡不敌，成师而还。
海都,PER,驻守,斡端,LOC,十八年，命恩进兵斡端，海都将玉论亦撒率兵万人迎战，游骑先至，恩设伏以待，大败之。海都又遣八把率众三万来侵，恩以众寡不敌，成师而还。
